theme2_code,theme2_name,theme2_group,theme5_code,theme5_name,mapping_note,theme6_code,theme6_name
ALFA,Alfalfa,Fodder crops,ALF,Alfalfa,manual,FDD,Fodder crops
BANA,Banana,Fruits,BAN,Banana,manual,BAN,Banana and Plantain
BARL,Barley,Cereals,BRL,Barley,manual,BRL,Barley
BSRG,Biomass sorghum,Bioenergy feedstocks,BSG,Biomass sorghum,name-match,FDD,Fodder crops
BHSG,Biomass sorghum (highland),Bioenergy feedstocks,BSG,Biomass sorghum,name-match,FDD,Fodder crops
BLSG,Biomass sorghum (lowland),Bioenergy feedstocks,BSG,Biomass sorghum,name-match,FDD,Fodder crops
BTSG,Biomass sorghum (temperate),Bioenergy feedstocks,BSG,Biomass sorghum,name-match,FDD,Fodder crops
BRCH,Brachiaria,Bioenergy feedstocks,BCH,Brachiaria,manual,FDD,Fodder crops
BCKW,Buckwheat,Cereals,BCK,Buckwheat,manual,OCE,"Other cereals (oats, rye, buckwheat and other minor grains)"
CABB,Cabbage,Vegetables,CAB,Cabbage,manual,OVG,Other vegetables (i.e. all vegetables except tomato)
COCO,Cacao (best of comum and hybrid),Narcotics and stimulants,COC,Cocoa,manual,COC,Cocoa
COCC,Cacao (comum),Narcotics and stimulants,COC,Cocoa,manual,COC,Cocoa
COCH,Cacao (hybrid),Narcotics and stimulants,COC,Cocoa,manual,COC,Cocoa
CAME,"Camelina, all types",Bioenergy feedstocks,CAM,Camelina,manual,OOC,Olives and other minor oil crops
CAMW,"Camelina, autumn and winter types",Bioenergy feedstocks,CAM,Camelina,manual,OOC,Olives and other minor oil crops
CAMSP,"Camelina, spring types",Bioenergy feedstocks,CAM,Camelina,manual,OOC,Olives and other minor oil crops
CARI,Carinata,Bioenergy feedstocks,CRT,Carinata,manual,OOC,Olives and other minor oil crops
CARIS,Carinata spring types,Bioenergy feedstocks,CRT,Carinata,manual,OOC,Olives and other minor oil crops
CARIW,Carinata winter type,Bioenergy feedstocks,CRT,Carinata,manual,OOC,Olives and other minor oil crops
CARR,Carrot,Vegetables,CAR,Carrot,manual,OVG,Other vegetables (i.e. all vegetables except tomato)
CASH,Cashew,Oil crops,CSH,Cashew,manual,FRT,Fruits and Nuts
CASV,Cassava,Roots and tubers,CSV,Cassava,name-match,CSV,Cassava
CAST,Castor bean,Oil crops,CST,Castor bean,manual,OOC,Olives and other minor oil crops
CHCK,Chickpea,Pulses,CHK,Chickpea,manual,PLS,Pulses
CITR,Citrus,Fruits,CIT,Citrus,manual,FRT,Fruits and Nuts
COCN,Coconut,Fruits,CON,Coconut,manual,CON,Coconut
COFF,Coffee (best of arabica and robusta),Narcotics and stimulants,COF,Coffee,manual,COF,Coffee
COFA,Coffee arabica,Narcotics and stimulants,COF,Coffee,manual,COF,Coffee
COFR,Coffee robusta,Narcotics and stimulants,COF,Coffee,manual,COF,Coffee
COTT,Cotton,Industrial crops,COT,Cotton,manual,COT,Seed Cotton
COWP,Cowpea,Pulses,COW,Cowpea,manual,PLS,Pulses
DPEA,Dry peas,Pulses,PEA,Dry pea,manual,PLS,Pulses
RICD,Dryland rice,Cereals,RCD,Dryland rice,manual,RCW,Rice
COC3,Dwarf coconut,Fruits,CON,Coconut,manual,CON,Coconut
ECAN,Energy cane,Bioenergy feedstocks,ECN,Energy cane,manual,NES,"All other crops not elsewhere included (mainly spices, fibre crops)"
ECANV2,Energy cane v2,Bioenergy feedstocks,ECN,Energy cane,manual,NES,"All other crops not elsewhere included (mainly spices, fibre crops)"
ECANV3,Energy cane v3,Bioenergy feedstocks,ECN,Energy cane,manual,NES,"All other crops not elsewhere included (mainly spices, fibre crops)"
FIMLT,Finger millet,Cereals,FML,Foxtail millet,manual,MLT,Millet
FLAX,Flax fibre,Industrial crops,FLX,Flax,manual,NES,"All other crops not elsewhere included (mainly spices, fibre crops)"
FONI,Fonio,Cereals,NAN,NAN,unmapped,,
FMLT,Foxtail millet,Cereals,FML,Foxtail millet,manual,MLT,Millet
GRAM,Gram,Pulses,GRM,Gram,manual,PLS,Pulses
GYAM,Greater yam,Roots and tubers,YAM,Yam,manual,ORT,Yams (and other minor root crops)
GRND,Groundnut,Oil crops,GRD,Groundnut,manual,GRD,Groundnuts (with shell)
HMZE,Highland Maize,Cereals,MZE,Maize,manual,MZE,Maize
HSRG,Highland tropics Sorghum,Cereals,SRG,Sorghum,manual,SRG,Sorghum
COC2,Hybrid coconut,Fruits,CON,Coconut,manual,CON,Coconut
